product,price,link
Karta graficzna Gigabyte GeForce RTX 3060 Eagle OC 12GB GDDR6 (GV-N3060EAGLE OC-12GD 2.0),1 769 zł,https://www.morele.net/karta-graficzna-gigabyte-geforce-rtx-3060-eagle-oc-12gb-gddr6-gv-n3060eagle-oc-12gd-2-0-5948080/
Karta graficzna Gigabyte GeForce RTX 3070 Ti Gaming OC 8GB GDDR6X (GV-N307TGAMING OC-8GD),3 199 zł,https://www.morele.net/karta-graficzna-gigabyte-geforce-rtx-3070-ti-gaming-oc-8gb-gddr6x-gv-n307tgaming-oc-8gd-5948093/
Karta graficzna Gigabyte GeForce RTX 4090 Gaming OC 24 GB GDDR6X (GV-N4090GAMING OC-24GD),8 899 zł,https://www.morele.net/karta-graficzna-gigabyte-geforce-rtx-4090-gaming-oc-24-gb-gddr6x-gv-n4090gaming-oc-24gd-11815306/
Karta graficzna Asus Dual GeForce RTX 3060 Gaming OC 12GB GDDR6 (DUAL-RTX3060-O12G-V2),"2 036,99 zł",https://www.morele.net/karta-graficzna-asus-dual-geforce-rtx-3060-gaming-oc-12gb-gddr6-dual-rtx3060-o12g-v2-5948085/
Karta graficzna Gigabyte GeForce RTX 3060 Gaming OC 12G (GV-N3060GAMING OC-12GD 2.0),1 929 zł,https://www.morele.net/karta-graficzna-gigabyte-geforce-rtx-3060-gaming-oc-12g-gv-n3060gaming-oc-12gd-2-0-5948081/
Karta graficzna Gainward GeForce RTX 3060Ti Ghost 8GB GDDR6 (471056224-2270),2 199 zł,https://www.morele.net/karta-graficzna-gainward-geforce-rtx-3060ti-ghost-8gb-gddr6-471056224-2270-5949307/
Karta graficzna MSI GeForce GTX 1660 SUPER Ventus XS OC 6GB GDDR6 (GTX 1660 SUPER VENTUS XS 6G OC),1 199 zł,https://www.morele.net/karta-graficzna-msi-geforce-gtx-1660-super-ventus-xs-oc-6gb-gddr6-gtx-1660-super-ventus-xs-6g-oc-6317624/
Karta graficzna XFX Speedster MERC 319 Radeon RX 6950 XT 16GB GDDR6 (RX-695XATBD9),"3 815,99 zł",https://www.morele.net/karta-graficzna-xfx-speedster-merc-319-radeon-rx-6950-xt-16gb-gddr6-rx-695xatbd9-12706402/
Karta graficzna Gainward GeForce RTX 3060 Pegasus 8GB GDDR6 (471056224-3451),"1 609,25 zł",https://www.morele.net/karta-graficzna-gainward-geforce-rtx-3060-pegasus-8gb-gddr6-471056224-3451-12205677/
Karta graficzna Gigabyte GeForce RTX 3060 Ti Eagle OC 8GB GDDR6 (GV-N306TEAGLE OC-8GD 2.0),2 259 zł,https://www.morele.net/karta-graficzna-gigabyte-geforce-rtx-3060-ti-eagle-oc-8gb-gddr6-gv-n306teagle-oc-8gd-2-0-5948221/
