product,price,link
"Procesor AMD Ryzen 5 5600X, 3.7 GHz, 32 MB, BOX (100-100000065BOX)",859 zł,https://www.morele.net/procesor-amd-ryzen-5-5600x-3-7-ghz-32-mb-box-100-100000065box-7267026/
"Procesor AMD Ryzen 5 5600, 3.5 GHz, 32 MB, BOX (100-100000927BOX)","659,08 zł",https://www.morele.net/procesor-amd-ryzen-5-5600-3-5-ghz-32-mb-box-100-100000927box-10120243/
"Procesor AMD Ryzen 5 5600G, 3.9 GHz, 16 MB, BOX (100-100000252BOX)","604,59 zł",https://www.morele.net/procesor-amd-ryzen-5-5600g-3-9-ghz-16-mb-box-100-100000252box-8536079/
"Procesor AMD Ryzen 7 5800X3D, 3.4 GHz, 96 MB, BOX (100-100000651WOF)","1 558,58 zł",https://www.morele.net/procesor-amd-ryzen-7-5800x3d-3-4-ghz-96-mb-box-100-100000651wof-10120247/
"Procesor AMD Ryzen 9 5900X, 3.7 GHz, 64 MB, BOX (100-100000061WOF)","1 604,60 zł",https://www.morele.net/procesor-amd-ryzen-9-5900x-3-7-ghz-64-mb-box-100-100000061wof-7267022/
"Procesor Intel Core i3-10100F, 3.6 GHz, 6 MB, BOX (BX8070110100F)",399 zł,https://www.morele.net/procesor-intel-core-i3-10100f-3-6-ghz-6-mb-box-bx8070110100f-5944564/
"Procesor AMD Ryzen 5 3600, 3.6 GHz, 32 MB, BOX (100-100000031AWOF)","428,46 zł",https://www.morele.net/procesor-amd-ryzen-5-3600-3-6-ghz-32-mb-box-100-100000031awof-10725957/
"Procesor AMD Ryzen 9 7950X, 4.5 GHz, 64 MB, BOX (100-100000514WOF)","2 975,39 zł",https://www.morele.net/procesor-amd-ryzen-9-7950x-4-5-ghz-64-mb-box-100-100000514wof-11788488/
"Procesor AMD Ryzen 3 3200G, 3.6 GHz, 4 MB, BOX (YD3200C5FHBOX)","416,55 zł",https://www.morele.net/procesor-amd-ryzen-3-3200g-3-6-ghz-4-mb-box-yd3200c5fhbox-5938601/
"Procesor AMD Ryzen 7 5700G, 3.8 GHz, 16 MB, BOX (100-100000263BOX)",899 zł,https://www.morele.net/procesor-amd-ryzen-7-5700g-3-8-ghz-16-mb-box-100-100000263box-8536076/
"Procesor AMD Ryzen 9 7900X, 4.7 GHz, 64 MB, BOX (100-100000589WOF)","2 176,83 zł",https://www.morele.net/procesor-amd-ryzen-9-7900x-4-7-ghz-64-mb-box-100-100000589wof-11788489/
"Procesor Intel Core i9-13900F, 2 GHz, 36 MB, BOX (BX8071513900F)",2 799 zł,https://www.morele.net/procesor-intel-core-i9-13900f-2-ghz-36-mb-box-bx8071513900f-12486212/
"Procesor Intel Core i5-10400F, 2.9 GHz, 12 MB, BOX (BX8070110400F)","494,99 zł",https://www.morele.net/procesor-intel-core-i5-10400f-2-9-ghz-12-mb-box-bx8070110400f-6731007/
"Procesor AMD Ryzen 7 5800X, 3.8 GHz, 32 MB, BOX (100-100000063WOF)",1 089 zł,https://www.morele.net/procesor-amd-ryzen-7-5800x-3-8-ghz-32-mb-box-100-100000063wof-7267024/
"Procesor Intel Core i5-12400F, 2.5 GHz, 18 MB, BOX (BX8071512400F)","820,99 zł",https://www.morele.net/procesor-intel-core-i5-12400f-2-5-ghz-18-mb-box-bx8071512400f-9643517/
"Procesor Intel Core i5-11400F, 2.6 GHz, 12 MB, BOX (BX8070811400F)",605 zł,https://www.morele.net/procesor-intel-core-i5-11400f-2-6-ghz-12-mb-box-bx8070811400f-7732032/
"Procesor Intel Core i5-10600KF, 4.1 GHz, 12 MB, BOX (BX8070110600KF)","915,43 zł",https://www.morele.net/procesor-intel-core-i5-10600kf-4-1-ghz-12-mb-box-bx8070110600kf-6731003/
"Procesor Intel Core i3-12100F, 3.3 GHz, 12 MB, BOX (BX8071512100F)","497,40 zł",https://www.morele.net/procesor-intel-core-i3-12100f-3-3-ghz-12-mb-box-bx8071512100f-9643936/
"Procesor Intel Core i7-11700K, 3.6 GHz, 16 MB, BOX (BX8070811700K)",1 899 zł,https://www.morele.net/procesor-intel-core-i7-11700k-3-6-ghz-16-mb-box-bx8070811700k-7732020/
"Procesor Intel Core i5-11400, 2.6 GHz, 12 MB, BOX (BX8070811400)","726,99 zł",https://www.morele.net/procesor-intel-core-i5-11400-2-6-ghz-12-mb-box-bx8070811400-7732026/
"Procesor AMD Ryzen 9 5950X, 3.4 GHz, 64 MB, BOX (100-100000059WOF)","2 392,99 zł",https://www.morele.net/procesor-amd-ryzen-9-5950x-3-4-ghz-64-mb-box-100-100000059wof-7267020/
