product,price,link
Gigabyte GeForce RTX 3060 EAGLE OC LHR 12GB GDDR6,"1 769,00 zł",https://www.x-kom.pl/p/661715-karta-graficzna-nvidia-gigabyte-geforce-rtx-3060-eagle-oc-lhr-12gb-gddr6.html
Inno3D GeForce RTX 3060 Ti Twin X2 LHR 8GB GDDR6,"2 049,00 zł",https://www.x-kom.pl/p/677789-karta-graficzna-nvidia-inno3d-geforce-rtx-3060-ti-twin-x2-lhr-8gb-gddr6.html
Gigabyte GeForce RTX 3060 Ti GAMING OC 8GB GDDR6X,"2 449,00 zł",https://www.x-kom.pl/p/1089608-karta-graficzna-nvidia-gigabyte-geforce-rtx-3060-ti-gaming-oc-8gb-gddr6x.html
Gainward GeForce RTX 3060 Ghost 12GB GDDR6,"1 689,00 zł",https://www.x-kom.pl/p/633465-karta-graficzna-nvidia-gainward-geforce-rtx-3060-ghost-12gb-gddr6.html
Gigabyte GeForce RTX 3060 GAMING OC LHR 12GB GDDR6,"2 189,00 zł",https://www.x-kom.pl/p/661713-karta-graficzna-nvidia-gigabyte-geforce-rtx-3060-gaming-oc-lhr-12gb-gddr6.html
Gigabyte GeForce RTX 3060 WINDFORCE OC 12GB GDDR6,"1 699,00 zł",https://www.x-kom.pl/p/1072799-karta-graficzna-nvidia-gigabyte-geforce-rtx-3060-windforce-oc-12gb-gddr6.html
Inno3D GeForce RTX 4070 Ti X3 12GB GDDR6X,"4 499,00 zł",https://www.x-kom.pl/p/1096136-karta-graficzna-nvidia-inno3d-geforce-rtx-4070-ti-x3-12gb-gddr6x.html
Sapphire Radeon RX 6600 GAMING Pulse 8GB GDDR6,"1 449,00 zł",https://www.x-kom.pl/p/688539-karta-graficzna-amd-sapphire-radeon-rx-6600-gaming-pulse-8gb-gddr6.html
Gigabyte GeForce RTX 4070 Ti GAMING OC 12GB GDDR6X,"4 749,00 zł",https://www.x-kom.pl/p/1096141-karta-graficzna-nvidia-gigabyte-geforce-rtx-4070-ti-gaming-oc-12gb-gddr6x.html
Inno3D GeForce RTX 3060 Twin X2 LHR 12GB GDDR6,"1 679,00 zł",https://www.x-kom.pl/p/673611-karta-graficzna-nvidia-inno3d-geforce-rtx-3060-twin-x2-lhr-12gb-gddr6.html
Acer Predator ARC A770 16GB GDDR6,"1 899,00 zł",https://www.x-kom.pl/p/1101353-karta-graficzna-intel-acer-predator-arc-a770-16gb-gddr6.html
Gigabyte GeForce RTX 3060 Ti EAGLE OC LHR 8GB GDDR6,"2 459,00 zł",https://www.x-kom.pl/p/665466-karta-graficzna-nvidia-gigabyte-geforce-rtx-3060-ti-eagle-oc-lhr-8gb-gddr6.html
Zotac GeForce RTX 3060 Twin Edge 12GB GDDR6,"1 699,00 zł",https://www.x-kom.pl/p/633021-karta-graficzna-nvidia-zotac-geforce-rtx-3060-twin-edge-12gb-gddr6.html
Intel Arc A750 8GB GDDR6,"1 289,00 zł",https://www.x-kom.pl/p/1115190-karta-graficzna-intel-intel-arc-a750-8gb-gddr6.html
MSI GeForce RTX 3060 VENTUS 2X OC 12GB GDDR6,"1 779,00 zł",https://www.x-kom.pl/p/630712-karta-graficzna-nvidia-msi-geforce-rtx-3060-ventus-2x-oc-12gb-gddr6.html
Gigabyte GeForce RTX 3070 GAMING OC LHR 8GB GDDR6,"3 259,00 zł",https://www.x-kom.pl/p/671978-karta-graficzna-nvidia-gigabyte-geforce-rtx-3070-gaming-oc-lhr-8gb-gddr6.html
ASUS GeForce RTX 3080 TUF Gaming OC V2 LHR 10GB GDDR6X,"3 899,00 zł",https://www.x-kom.pl/p/671957-karta-graficzna-nvidia-asus-geforce-rtx-3080-tuf-gaming-oc-v2-lhr-10gb-gddr6x.html
ASUS GeForce GTX 1650 TUF Gaming OC 4GB GDDR6,"799,00 zł",https://www.x-kom.pl/p/587709-karta-graficzna-nvidia-asus-geforce-gtx-1650-tuf-gaming-oc-4gb-gddr6.html
ASUS GeForce RTX 2060 DUAL EVO OC 6GB GDDR6,"1 389,00 zł",https://www.x-kom.pl/p/507702-karta-graficzna-nvidia-asus-geforce-rtx-2060-dual-evo-oc-6gb-gddr6.html
Gigabyte GeForce RTX 3070 EAGLE OC LHR 8GB GDDR6,"3 299,00 zł",https://www.x-kom.pl/p/670621-karta-graficzna-nvidia-gigabyte-geforce-rtx-3070-eagle-oc-lhr-8gb-gddr6.html
Gigabyte GeForce RTX 3070 Ti GAMING OC 8GB GDDR6X,"3 549,00 zł",https://www.x-kom.pl/p/659843-karta-graficzna-nvidia-gigabyte-geforce-rtx-3070-ti-gaming-oc-8gb-gddr6x.html
Zotac GeForce RTX 3050 Gaming Twin Edge 8GB GDDR6,"1 429,00 zł",https://www.x-kom.pl/p/717631-karta-graficzna-nvidia-zotac-geforce-rtx-3050-gaming-twin-edge-8gb-gddr6.html
MSI GeForce RTX 3060 Ti VENTUS 2X OC 8GB GDDR6X,"2 299,00 zł",https://www.x-kom.pl/p/1110987-karta-graficzna-nvidia-msi-geforce-rtx-3060-ti-ventus-2x-oc-8gb-gddr6x.html
MSI GeForce RTX 4070 Ti GAMING X TRIO 12GB GDDR6X,"4 699,00 zł",https://www.x-kom.pl/p/1098606-karta-graficzna-nvidia-msi-geforce-rtx-4070-ti-gaming-x-trio-12gb-gddr6x.html
Gainward GeForce RTX 4070 Ti Phantom Reunion GS 12GB GDDR6X,"4 629,00 zł",https://www.x-kom.pl/p/1101297-karta-graficzna-nvidia-gainward-geforce-rtx-4070-ti-phantom-reunion-gs-12gb-gddr6x.html
Zotac GeForce RTX 3060 GAMING Twin Edge 8GB GDDR6,"1 499,00 zł",https://www.x-kom.pl/p/1092092-karta-graficzna-nvidia-zotac-geforce-rtx-3060-gaming-twin-edge-8gb-gddr6.html
Sapphire Radeon RX 6400 PULSE GAMING 4GB GDDR6,"899,00 zł",https://www.x-kom.pl/p/742557-karta-graficzna-amd-sapphire-radeon-rx-6400-pulse-gaming-4gb-gddr6.html
